District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Great Southern District,16,Manslaughter,0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Murder,0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Non-Assaultive Sexual Offences,22.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Other Drug Offences,9.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Other Fire Related Offences,3.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Possess Stolen Property,96.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Possess Weapon to Cause Fear (Family),13.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Possess Weapon to Cause Fear (Non-Family),32.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Possession of Drug Paraphernalia,650.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Receiving Stolen Property,19.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Regulated Weapons Offences,181.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Robbery (Business),1.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Robbery (Non-Business),12.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Serious Assault (Family),97.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Serious Assault (Non-Family),99.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Sexual Assault,216.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing (Not Elsewhere Classified),1714.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing From Dwelling,0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing From Other Premises or Place,0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing From Retail Premises (Shoplift),0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing as a Servant,15.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Stealing of Motor Vehicle,110.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Threatening Behaviour (Family),62.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Threatening Behaviour (Non-Family),36.0,123299.0,129598.0,6299.0,5.11
Joondalup District,16,Assault Police Officer,60.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Attempted / Conspiracy to Murder,3.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Breach of Family Violence Restraint Order,1093.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Breach of Police Order,271.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Breach of Violence Restraint Order,122.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Burglary (Dwelling),2345.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Burglary (Non-Dwelling),790.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Cause Bushfire,8.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Cause Damage by Fire,80.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Common Assault (Family),1701.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Common Assault (Non-Family),507.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Criminal Damage,559.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Cultivate or Manufacture Drugs,81.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Damage,2217.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Deprivation of Liberty,32.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Driving Causing Death,2.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Drug Dealing,504.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Drug Possession,1989.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Forgery,8.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Fraud (Credit Card),0.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Fraud (Not Elsewhere Classified),1173.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Graffiti,211.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Kidnapping / Child Stealing,9.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Manslaughter,4.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Murder,8.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Non-Assaultive Sexual Offences,115.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Other Drug Offences,14.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Other Fire Related Offences,9.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Possess Stolen Property,617.0,607592.0,658944.0,51352.0,8.45
Joondalup District,16,Possess Weapon to Cause Fear (Family),28.0,607592.0,658944.0,51352.0,8.45
